,title,upload_date,view_count,tempo_desde_pub,y,p
685,bboy 2000s practice,2021-10-01,6,-3.0,,0.429
688,B-Boy Lil Zoo vs. B-Boy Alkolil | BREAK THE GAME | Season 6,2021-03-12,753625,200.0,,0.558
694,BBOY KHALIL (Legiteam Obstruxion) Recap | Championnat De France Breaking 2021,2021-09-05,1737,23.0,,0.447
697,法國最強但也最沒品的戰神! Bboy Lilou! Reaction to B-Boy Lilou vs B-Boy Alcolil Red Bull BC One World Final 2014,2020-09-23,25107,370.0,,0.547
709,Bboy Menno | Trailer | Greatest World Champion 🔥,2021-08-06,4122,53.0,,0.44
716,BBoy Shlag VS BBoy Marswater - Battle One One World Finals,2020-09-26,2636,367.0,,0.565
733,C Lil vs Shlag // .BBoy World // BBOY 1on1 EIGHT-FINAL | HIP OPSESSION 2015,2015-02-23,11805,2409.0,,0.431
737,B-Boy Lil Zoo vs B-Boy Alkolil | Semifinal | Red Bull BC One World Final Austria 2020,2020-11-29,90590,303.0,,0.471
752,Dj Gamra -Tunisian Breaking Camp 2021 -BBoy mixtape | Bboy Music 4 Life 2021,2021-09-01,2898,27.0,,0.528
753,Bboy Lilou - Bad compilation 2021,2021-04-02,5259,179.0,,0.557
760,Bboy Zoopreme at Unbreakable 2021,2021-09-24,11385,4.0,,0.468
763,B-Boy Lussy Sky | World Bboy Classic Feature Series,2020-08-05,2714,419.0,,0.415
764,BBOY HAYATO1 Breakin' Basic 1min Tutorial Intro&Outro of Freeze with Go Down/ドロップを使ったフリーズの入り方と解除の基本,2021-09-30,2322,-2.0,,0.436
768,BBOY LEE Recap | Champion | Floor Wars 2021,2021-06-14,5508,106.0,,0.482
770,"How to Breakdance | Footwork Combination | Intact (Ruffneck Attack, Ukraine)",2013-11-15,1421829,2874.0,,0.436
780,HYPEST SETS OF WORLD BBOY CLASSIC 2018!,2018-07-06,2410482,1180.0,,0.419
804,HOPE 4 HIP HOP DANCE ACADEMY//SHOWCASE// BBOY CITY 2021//AUSTIN TX,2021-10-02,31,-4.0,,0.496
819,Dj LEG1ONER - Get up and Dance | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-03,3,-5.0,,0.43
823,How to Breakdance | Your First Breakdancing Lesson | FOOTWORK Fundamentals,2018-09-13,1015,1111.0,,0.482
835,B-Boy Victor's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-05-01,17468,150.0,,0.431
836,Fusik - Flatfoot | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-09-29,182,-1.0,,0.517
837,Keep Your Dreams vs Dancing on Air // stance // BBOY CITY 2021,2021-09-28,2293,0.0,,0.499
838,How to Breakdance | 4 Step | Footwork 101,2011-09-27,439404,3654.0,,0.452
860,Bboy Music / Bboy Mixtape For Your Practice,2021-08-20,7862,39.0,,0.452
863,BBOY BART VS BBOY LEE -reação análise  (REDBULLBCONE 2021),2021-06-28,616,92.0,,0.464
880,Bboy Shorty Force 👑 (We Got Seoul) BombJam Korea (HD),2021-09-24,280,4.0,,0.434
884,BBOY ALKOLIL // PRACTICE SESSION,2021-08-30,10170,29.0,,0.47
885,BBOY FLY JAM VS BBOY MACHA (RED BULL BC ONE FORTALEZA 2021),2021-09-12,457,16.0,,0.457
887,Red bull Cypher Fortaleza 2021 FINAL Bboys - Bboy Dnilson vs Bboy Mancha,2021-09-12,3021,16.0,,0.516
888,Bboy Lil Zoo at World Bboy Classic 2018,2018-07-10,359193,1176.0,,0.561
895,TOP SET BBOY 2021 🔥 ON FIRE,2021-09-20,8502,8.0,,0.456
921,KID RAINEN vs KID GLYDE  [bboy semi] // stance // TEXAS GREAKIN OPEN 2021,2021-03-30,2739,182.0,,0.551
928,"Recap Bboy Victor ""Look Fresh"" | BBOY CITY XXVII 2021",2021-09-27,160,1.0,,0.555
940,Bboy Hong 10 2021 | HONG '10 ROUNDS' - Part 1 // DISTCTARTS,2021-05-06,5574,145.0,,0.531
947,Bboy Xak (ESP) vs Bboy Hatsolo (FIN) | 2021 WDSF European Breaking - Battle for the 3rd place,2021-06-27,3988,93.0,,0.457
959,Simon & Rateb vs Khalil & Tchantcho | TOP 16 | World BBoy Classic World Final 2019,2019-09-10,12329,749.0,,0.481
974,Red Bull BC One B-Boy Cypher USA 2021 | LIVESTREAM,2021-08-22,77074,37.0,,0.498
979,B-Boy Hong 10's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-03-06,47251,206.0,,0.407
983,BBOY SHLAG | World Bboy Classic 2016,2016-06-07,6415,1939.0,,0.593
984,BBOY WILLY - BEST SETS 2018,2018-02-23,195067,1313.0,,0.429
985,TOP SETS | Bboy Lil G | Red Bull BC One E-Battle 2021,2021-06-26,936,94.0,,0.499
986,B-Boy Issei vs B-Boy Hong 10 | Final | Red Bull BC One World Final 2016,2016-12-03,6785507,1760.0,,0.403
994,비가오면 난 브레이크댄스를 춰 #Shorts #bboy,2021-10-03,609,-5.0,,0.449
1011,B-Boy Kid Colombia vs. B-Boy Junior | BREAK THE GAME,2019-09-19,218347,740.0,,0.428
1012,"Why Jams Aren't Dead in 2021 with bboy Moy, BreakFree WorldWide // THE KNOWLEDGE DROP | BBOY DOJO",2021-04-16,547,165.0,,0.426
1016,Renegade Rockers vs Havikoro [top 4] // stance // BBOY CITY 2021,2021-09-28,6168,0.0,,0.42
1017,"How to Breakdance | Footwork Combination | Intact (Ruffneck Attack, Ukraine)",2013-11-15,1421829,2874.0,,0.436
1021,Bboy Issei  practice,2021-07-29,800,61.0,,0.589
1022,BBOY J-ONE || WORLD BBOY CLASSIC 2017,2017-06-19,20700,1562.0,,0.505
1046,BBOY TAWFIQ Recap | Champion | Floor Wars 2021,2021-06-18,582,102.0,,0.48
1047,BBOY KUZYA Recap | New Era Battle 2021,2021-07-01,880,89.0,,0.565
1049,Kid Colombia & Justen vs Skychief & Willy | WORLD BBOY CLASSIC 2017,2017-06-18,160594,1563.0,,0.456
1068,TSUKKI (age 12) vs RAPTOR (age 11) // .stance // Taipei Bboy City 2018,2018-12-02,1984566,1031.0,,0.414
1070,Amazing MOMENTS at Bboy City USA 2020 // .stance,2020-10-14,13656,349.0,,0.427
1074,BBoy Issue - the movement arena 2021 - Judges Presentation,2021-09-28,92,0.0,,0.44
1108,NEW ▶ TOP SETS BBOY 2018  BEST BBOYS IN THE WORLD // PAAW,2018-07-10,395055,1176.0,,0.452
1113,BBOY HIJACK Recap | Red Bull BC One Cypher Boston 2021,2021-08-09,1288,50.0,,0.476
1117,TSUKKI (age 12) vs RAPTOR (age 11) // .stance // Taipei Bboy City 2018,2018-12-02,1984660,1031.0,,0.414
1120,Bboy Music 2021 // New Year Bboy Chyper Mix,2020-12-31,48923,271.0,,0.409
1122,Red Bull BC One World Final Austria 2020 Mixtape | Bboy Music Channel 2020,2020-12-22,77877,280.0,,0.495
1123,Beetle (RUS) vs Dany (FRA) | BOTY 2018 1V1 BBOY FINAL,2018-11-16,31275,1047.0,,0.442
1124,Bboy Thesis | Trailer 2021 (Knuckleheads Cali),2021-09-24,1228,4.0,,0.58
1125,"TOP SET BBOY -  bboy thesis, lil zoo, luigi, pac pac, zoopreme, taisuke, etc",2021-07-23,1825,67.0,,0.551
1130,Red bull Cypher São Paulo 2021 Bboy Training vs Bboy Sinistro,2021-10-02,178,-4.0,,0.453
1131,TOP SETS BBOY 2019 🤸‍♂ BEST ROUNDS,2019-01-19,148944,983.0,,0.481
1135,BBoy Bonnes x BBoy Training | RedBull BC One Cypher Curitiba Brasil 2021,2021-10-01,27,-3.0,,0.54
1139,Renegade Rockers vs Vicious By Nature [top 8] // stance // BBOY CITY 2021,2021-09-28,3460,0.0,,0.522
1141,Bboy Battle Mix 2021 - Cypher Code,2021-01-08,12861,263.0,,0.463
1151,World Final Champion B-Boy Shigekix | Red Bull BC One World Final 2020,2020-12-29,27741,273.0,,0.462
1154,B-Boy Junior vs B-Boy Physicx | Red Bull BC One Cypher France 2017,2017-07-10,3660308,1541.0,,0.425
1155,Ram vs Nao [1on1 B-Girl Semi-Final] ► TAIPEI BBOY CITY ◄ 2017,2017-12-22,68775,1376.0,,0.598
1158,Bboy Tom Last Squad crew vs Bboy arnil redbull bc one France 2021 ( qualification ),2021-05-29,673,122.0,,0.544
1162,Red Bull BC One Cypher Holland 2021 | LIVESTREAM,2021-09-26,24605,2.0,,0.508
1166,BEST KILL THE BEAT 2018 TOP SETS BBOY // PAAW,2018-03-03,375543,1305.0,,0.543
1176,BBOY SHOSEI // PRACTICE SESSION,2021-08-04,838,55.0,,0.597
1177,Bboy Yuwma. Unique thread-style bboy goes crazy at Full Throttle July 2021. Who's Got Daily Flava?,2021-07-24,462,66.0,,0.465
1183,Breakdancing will be sport at 2024 Olympics,2021-07-30,1093,60.0,,0.412
1224,Bboy Mixtape / Bboy Mixtape 2021/ Bboy Music / Dj Energy,2021-09-17,2220,11.0,,0.594
1233,Street Bboy dancer - Flava D yourtroubles Tel Aviv,2021-10-02,814,-4.0,,0.47
1235,Dj Zapy & Dj Uragun - Eee Dog | Bboy Music 4 Life 2021,2021-08-27,2793,32.0,,0.411
1242,BBOY J - ONE 🇨🇩 NON STOP POWERMOVE,2021-08-15,532,44.0,,0.412
1249,WORLD BBOY CLASSIC 2019 | OFFICIAL TRAILER,2019-06-18,3251,833.0,,0.436
1253,"Bboy Onel ""No Way"" Trailer 2020 🔥",2020-09-17,25494,376.0,,0.417
1275,⭐BBOY LUKA - TOP SET BEST POWERMOVES ⭐ RED BULL BC ONE CAMP FRANCE,2021-06-11,1843,109.0,,0.479
1276,Bboy Bart at World Bboy Classic 2018,2018-07-10,59190,1176.0,,0.585
1278,Alvarone & Husky Hask vs Victor & J One | WORLD BBOY CLASSIC 2017,2017-06-19,15979,1562.0,,0.491
1289,Dennis Coffey - Ubiquitous | BBOY BEAT | Breakbeat | BBOY MUSIC 2021,2021-10-03,4,-5.0,,0.494
1294,Red bull Cypher Fortaleza 2021 Bboy ??? vs Bboy Grilin,2021-09-12,777,16.0,,0.492
1310,BEST JUDGE SHOWCASE | BBOY LIL G 🇻🇪,2021-10-02,155,-4.0,,0.437
1311,"Bboy Kastrito vs Bboy Gato 2021 FINAL (aniversario puchiz, colima)",2021-04-21,5303,160.0,,0.46
1339,TOP SETS | Bboy Lee | Champion | Red Bull BC One E-Battle 2021,2021-06-27,3736,93.0,,0.514
1371,Bboy Justfit vs Bboy Leon - Quarterfinal - Red Bull BC One Asian Pacific Final 2015,2015-10-18,100467,2172.0,,0.471
1394,BBOY ISSIN (Body Carnival) | Japan Star,2021-09-08,1766,20.0,,0.51
