,title,upload_date,view_count,tempo_desde_pub,y
68,YAKUZA 0: Breakdancing Majima,2017-01-27,1562,1705.0,0
69,[CHOREOGRAPHY] BTS (방탄소년단) Dance break Practice,2013-07-04,10940526,3008.0,0
70,Kastrito vs. Palmer + TIEBREAKER // BREAK FREE DAY 2021 // TOP 8 Bboy,2021-07-22,13860,68.0,0
71,"East side bboys VS Intact, Beetle, Johnny Fox",2021-06-06,1946,114.0,0
72,WTF old man breakdancing  (60 years old),2012-10-27,387190,3258.0,0
73,What slow Mo break dance,2021-09-30,294,-2.0,0
74,Bboy Amir at Unbreakable 2021,2021-09-25,7748,3.0,0
75,Bboy Dnilson x Bboy Mário bros | RED BULL BC ONE 2021,2021-09-23,61,5.0,1
76,TEAM MALAYSIA VS EAST RIDER CREW | Final Crew | Indonesia Bboy Championship 2018,2018-10-01,41447,1093.0,1
77,Kid Breaks World Record BREAKDANCE on Kids Got Talent China | Got Talent Global,2018-08-09,80753,1146.0,1
78,Free Fire Gold royale break dance bundle,2021-10-01,9,-3.0,0
79,“LOCO” - ITZY DANCE COVER (Chorus+Break dance),2021-10-01,1486,-3.0,0
80,Stepper vs Ozzi / BBOY TOP 8 / NK Breaking 2021,2021-09-15,5027,13.0,0
81,bboy  danny & bboy abhimanyu ❤ #bboy #bboying #bgirls #bboyworld #bboymusic #redbullbcone #power,2021-10-02,16,-4.0,0
82,Capoeira meets Breakdancing- BBoy Neguin Compilation Best of,2019-02-11,126382,960.0,1
83,Bboy Music Mixtape 2021 | Ultimate Bboy Breaks,2021-06-17,13839,103.0,1
84,Breakdancing midget scene from Adhisaya Piravi |  Rajinikanth,2020-01-24,23913,613.0,0
85,Breakdancing bug lol,2021-10-01,709,-3.0,0
86,ITZY 'LOCO' dance cover (break dance) #ITZY #LOCOChallenge #Shorts,2021-09-30,54,-2.0,0
87,Break-Dancing to Tchaikovsky in the Hip Hop Nutcracker,2016-12-20,75933,1743.0,0
88,THESIS vs. JEFF // BREAK X GRAND JAM 2021 // BBOY TOP 8,2021-04-25,38056,156.0,0
89,Breakdancing How to Baby Swipe Tutorial,2008-10-30,157815,4716.0,1
90,breakdancing facial expression lessons [HQ],2010-01-13,24695,4276.0,0
91,windmill ✨✌️ power moves 🌸. #windmill #fyptreding #viral #bboying #bboy,2021-10-02,6,-4.0,0
92,The funky business of kids’ competitive break dancing,2018-01-29,5513,1338.0,0
93,BBOY CICO(ITALY🇮🇹) POWERMOVES REMAKE 2021 1080p⁶⁰,2021-04-07,4380,174.0,1
94,respect best break dance movie moment #1 #shorts,2021-10-01,1138,-3.0,0
95,Dua Lipa - Break Dance (Then and Now),2019-12-05,3161371,663.0,0
96,🔴[Live] 제67회 백제문화제 / 한류원조 B-boy 경연대회  / 10월 2일 (토)  18:00 ~ 21:00,2021-10-02,2809,-4.0,0
97,Ghoomar - Baba Jackson | New Dance Video 2020,2020-07-29,7585983,426.0,0
98,Deca Dance Huss Break Dance On Ride POV HD GoPro,2019-04-23,34854,889.0,0
99,"Flashdance 1983 movie Breakdance scene ""It's Just Begun"" Jimmy Castor Bunch",2011-06-12,298667,3761.0,0
100,Growing up Black and break dancing in South Central Los Angeles,2021-08-19,57,40.0,0
101,LISA - Intro + MONEY + LALISA + Dance Break (Award Show Perf. Concept),2021-09-13,134100,15.0,0
102,[BANGTAN BOMB] 'Dynamite' Dance Break (BTS focus) @ 2020 MMA - BTS (방탄소년단),2020-12-11,6670243,291.0,0
103,[K-POP IN PUBLIC | ONE TAKE] ITZY (있지) - LOCO (FULL BREAK) Dance Cover by BLOOM's Russia,2021-09-29,61401,-1.0,0
104,Breakdancing coming to the Olympics,2021-06-07,539,113.0,0
105,"BBOY LAGAET ""MOMENTUM CREW""",2021-08-02,215,57.0,1
106,Razor breakdancing after the Crusaders win,2021-05-08,60181,143.0,0
107,BBOY NORD DIAMOND,2021-08-28,367,31.0,1
108,Bboy Machine at World Bboy Classic 2018,2018-07-09,125305,1177.0,1
109,Breakin' 1984 (6),2017-08-10,2628836,1510.0,0
110,How To Breakdance For Beginners,2012-04-08,1952965,3460.0,0
111,Men Whitout Hats - Safety Dance Remix - Robot Dance Vs. Break Dance,2017-11-07,12406824,1421.0,0
112,Irene Cara - Breakdance (Radio Edit),2010-04-27,1199559,4172.0,0
113,LISA - 'LALISA' DANCE PRACTICE VIDEO,2021-09-16,27450239,12.0,0
114,"*OLD SCHOOL* - Breakdancing, Body Poppin & Roller disco London 1987 - Westwood",2013-01-12,12946,3181.0,0
115,Bboy Khalil | Trailer | Legiteam Obstrucion,2021-06-04,5652,116.0,0
116,Bboy Battle 2021| Breakin'Vasion After Jam | Keep It Raw | Hip Hop India | Day 1 | New Delhi | P8,2021-10-03,3,-5.0,0
117,Chuck E.’s Spring Break Break Dance,2021-03-05,140632,207.0,0
118,kucing joged ! cat break dance,2021-09-26,8932,2.0,0
119,🔥 BEST BBOY  VIỆT NAM,2019-05-21,38750,861.0,0
120,THE MOST CRAZY 🔥 HIGH LEVEL BREAK DANCE 2018,2018-10-15,227872,1079.0,0
121,You Got Served (2004) - Opening Dance Battle Scene (1/7) | Movieclips,2019-02-19,4176565,952.0,0
122,The Dance Freeze Song | Freeze Dance | Scratch Garden,2020-02-10,14635314,596.0,0
123,The Prodigy - Diesel Power (Break dance),2017-04-02,1482669,1640.0,0
124,Trailer Bboy Lil Zoo 2021,2021-06-27,1279,93.0,1
125,Bboy brahood 🇹🇿 VS mzushi Africa 🇰🇪 Call out battle in Nairobi #Kenya #ENTERTAINMENT #BATTLE,2020-03-11,2872,566.0,0
126,FORTNITE DANCE OFF! Fun Dance Tabata Workout  PE activity or BRAIN BREAK!,2021-02-06,224015,234.0,0
127,Bboy Power Moves 2018 HD,2018-02-02,27586,1334.0,0
128,Breakdancing Thanos,2019-04-25,20505,887.0,0
129,1980’s Break Dancing Dynamic Rockers Floor Masters,2018-08-07,30101,1148.0,0
130,Bboy Music 2021- Bboy track / Breaking music (parte 2),2021-04-05,688,176.0,0
131,Famous Breakdancing GORILLA is at it Again!,2021-09-24,2148,4.0,0
132,Best Bboy Music Of Dj Fleg | Top Tracks 2015 - 2021 / Best Motivational Bboy Training Music,2021-04-23,87703,158.0,1
133,Bboy Battle 2021| Breakin'Vasion After Jam | Keep It Raw | Hip Hop India | Day 1 | New Delhi | P5,2021-10-03,3,-5.0,1
134,Fusik - Funktana | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-02,96,-4.0,0
135,RUN BBOY VS TIE BREAK .// BBOY FRANCE 2019 CREW VS CREW (Part 1 ),2019-12-01,1599,667.0,0
136,i didn't expect this🤯😱 #breakdance #amezing #shortsviral #trendingstatus,2021-10-01,739,-3.0,0
137,"Lubię tańczyć BreakDance, Loombard promo.",2021-10-03,60,-5.0,0
138,KIDZ BOP Kids - KIDZ BOP Shuffle (Dance Along),2016-03-04,52662514,2034.0,0
139,"what styles are viable + why breakdancing, karate, taekwondo, and military are viable",2021-09-27,160,1.0,0
140,B-girl Xiuşa | BreakDance,2021-09-26,143,2.0,0
141,BBOY CHO JUDGE SHOW CASE .// BREAK THE FLOOR 2020,2020-02-03,11952,603.0,0
142,'This is not a joke' - breakdancing will be in the 2024 Olympic Games,2020-12-07,3944,295.0,0
143,BEST Dance Talent Tik Tok Compilation #Breakdance,2018-11-04,17517,1059.0,0
144,Guile's Theme Goes With Everything - Breakdancing Bear,2012-12-14,2329,3210.0,0
145,KEEP YOUR DREAMS VS DANCING ON AIR//BBOY CITY 2021//AUSTIN TX,2021-10-02,99,-4.0,0
146,Breakin' 1984 (6),2017-08-10,2628836,1510.0,0
147,Bboy Lilou at World Bboy Classic 2018,2018-07-11,750955,1175.0,1
148,Bboy Pandia| Bhubaneswar| Odisha | Breakdance Olympic,2021-10-02,25,-4.0,0
149,Bboy Flam - 17 years of breakdancing,2019-01-01,3037,1001.0,0
150,INSANE POWERMOVES AND TRICKS 2018// BEST BBOY COMPILATION // PAAW,2018-02-04,1166167,1332.0,0
151,Break dance PASOS BÁSICOS - Como APRENDER BREAK DANCE paso a paso,2018-03-09,687332,1299.0,0
152,B - BOY POCKET #SHORTS,2021-05-10,4950197,141.0,0
153,ITZY - 'Wannabe' DANCE BREAK Dance Cover | KVN Barrera,2021-02-14,725709,226.0,0
154,NEW UPDATE EMOTE + BREAK DANCER BUNDLE 🙂,2021-09-29,12208,-1.0,0
155,😠 SPIN TO GET BREAK DANCER BUNDLE 😍 | HOW TO GET LEGENDRY ITEM | RIP DIAMONDS |GARENA FREE FIRE,2019-11-07,1258321,691.0,0
156,Dytto | FRONTROW | World of Dance Bay Area 2015 #WODBAY2015,2015-04-26,48311162,2347.0,0
157,tiny kid break dancing,2008-05-06,3472180,4893.0,0
158,Break Dance Grünberg + Kaiser offride Herbst in Erding 2021,2021-10-03,6,-5.0,0
159,BreakDance Mix - BreakDance Music - Breaks 2016,2016-02-27,107457,2040.0,0
160,#3 Breakdance 1990,2021-10-01,12,-3.0,0
161,Snow: The Breakdancing Husky!,2014-04-05,181227,2733.0,0
162,"Bboying in public || Breakdance on streets in front of peoples || best moves, public reactions ||",2019-09-09,336537,750.0,0
163,Bboy Junior -vs- Bboy Neguin / Breakin' Freestyle Battle / 310XT FILMS / URBAN DANCE SHOWCASE,2016-08-06,7018157,1879.0,1
164,Arsex & Wild Willy vs Hong 10 & Ronnie | WORLD BBOY CLASSIC 2016,2016-06-09,61337,1937.0,0
165,World Bboy Legends,2015-07-05,98175,2277.0,0
166,TOP 10 Best Powermoves Sets of 2018,2018-12-26,20341612,1007.0,0
167,U.S. Olympic and Paralympic Museum offering a breakdancing performance,2021-08-04,128,55.0,0
168,BREAKDANCING,2020-12-19,13256,283.0,0
169,"TAIPEI BBOY CITY ft. Noe, Shigekix, Onel, LegoSam, Kuzya and more | @yakfilms x Lean Rock B.Bravo",2019-02-09,74289,962.0,1
170,Police Pursuit Ends In a Break Dance,2019-04-01,163724,911.0,0
171,TOP 10 BBOY Sets VOL6 (BreakDance Compilation 2021),2021-01-22,27583,249.0,0
