,title,upload_date,view_count,tempo_desde_pub,y
648,"Recap Bboy Pocket & Bboy Kill ""Seoul Killer"" | BBIC Korea 2021",2021-09-14,10743,14.0,1.0
653,HEAD SPIN BATTLE　BBOY KAKU　vs　BBOY TSUKKI　/　Red Bull BC One 2017 Japan Cypher,2017-08-06,341490,1514.0,1.0
673,2016 BBOY G NON SUMMER PRACTICE OUTDOOR,2016-11-11,4066,1782.0,0.0
675,B-Boy Harlekin vs. B-Boy Cicov | Final | Red Bull BC One Cypher Austria 2019,2019-04-14,20924,898.0,1.0
679,BBoy Francklin VS BBoy Tsong - Battle One One World Finals,2020-09-26,4335,367.0,1.0
685,bboy 2000s practice,2021-10-01,6,-3.0,1.0
688,B-Boy Lil Zoo vs. B-Boy Alkolil | BREAK THE GAME | Season 6,2021-03-12,753625,200.0,1.0
694,BBOY KHALIL (Legiteam Obstruxion) Recap | Championnat De France Breaking 2021,2021-09-05,1737,23.0,0.0
697,法國最強但也最沒品的戰神! Bboy Lilou! Reaction to B-Boy Lilou vs B-Boy Alcolil Red Bull BC One World Final 2014,2020-09-23,25107,370.0,0.0
709,Bboy Menno | Trailer | Greatest World Champion 🔥,2021-08-06,4122,53.0,1.0
716,BBoy Shlag VS BBoy Marswater - Battle One One World Finals,2020-09-26,2636,367.0,0.0
733,C Lil vs Shlag // .BBoy World // BBOY 1on1 EIGHT-FINAL | HIP OPSESSION 2015,2015-02-23,11805,2409.0,0.0
737,B-Boy Lil Zoo vs B-Boy Alkolil | Semifinal | Red Bull BC One World Final Austria 2020,2020-11-29,90590,303.0,1.0
752,Dj Gamra -Tunisian Breaking Camp 2021 -BBoy mixtape | Bboy Music 4 Life 2021,2021-09-01,2898,27.0,0.0
753,Bboy Lilou - Bad compilation 2021,2021-04-02,5259,179.0,1.0
760,Bboy Zoopreme at Unbreakable 2021,2021-09-24,11385,4.0,1.0
763,B-Boy Lussy Sky | World Bboy Classic Feature Series,2020-08-05,2714,419.0,1.0
764,BBOY HAYATO1 Breakin' Basic 1min Tutorial Intro&Outro of Freeze with Go Down/ドロップを使ったフリーズの入り方と解除の基本,2021-09-30,2322,-2.0,0.0
768,BBOY LEE Recap | Champion | Floor Wars 2021,2021-06-14,5508,106.0,0.0
770,"How to Breakdance | Footwork Combination | Intact (Ruffneck Attack, Ukraine)",2013-11-15,1421829,2874.0,1.0
780,HYPEST SETS OF WORLD BBOY CLASSIC 2018!,2018-07-06,2410482,1180.0,1.0
804,HOPE 4 HIP HOP DANCE ACADEMY//SHOWCASE// BBOY CITY 2021//AUSTIN TX,2021-10-02,31,-4.0,0.0
819,Dj LEG1ONER - Get up and Dance | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-03,3,-5.0,1.0
823,How to Breakdance | Your First Breakdancing Lesson | FOOTWORK Fundamentals,2018-09-13,1015,1111.0,1.0
835,B-Boy Victor's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-05-01,17468,150.0,1.0
836,Fusik - Flatfoot | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-09-29,182,-1.0,0.0
837,Keep Your Dreams vs Dancing on Air // stance // BBOY CITY 2021,2021-09-28,2293,0.0,0.0
838,How to Breakdance | 4 Step | Footwork 101,2011-09-27,439404,3654.0,1.0
860,Bboy Music / Bboy Mixtape For Your Practice,2021-08-20,7862,39.0,1.0
863,BBOY BART VS BBOY LEE -reação análise  (REDBULLBCONE 2021),2021-06-28,616,92.0,1.0
880,Bboy Shorty Force 👑 (We Got Seoul) BombJam Korea (HD),2021-09-24,280,4.0,0.0
884,BBOY ALKOLIL // PRACTICE SESSION,2021-08-30,10170,29.0,1.0
885,BBOY FLY JAM VS BBOY MACHA (RED BULL BC ONE FORTALEZA 2021),2021-09-12,457,16.0,0.0
887,Red bull Cypher Fortaleza 2021 FINAL Bboys - Bboy Dnilson vs Bboy Mancha,2021-09-12,3021,16.0,0.0
888,Bboy Lil Zoo at World Bboy Classic 2018,2018-07-10,359193,1176.0,1.0
895,TOP SET BBOY 2021 🔥 ON FIRE,2021-09-20,8502,8.0,1.0
921,KID RAINEN vs KID GLYDE  [bboy semi] // stance // TEXAS GREAKIN OPEN 2021,2021-03-30,2739,182.0,0.0
928,"Recap Bboy Victor ""Look Fresh"" | BBOY CITY XXVII 2021",2021-09-27,160,1.0,1.0
940,Bboy Hong 10 2021 | HONG '10 ROUNDS' - Part 1 // DISTCTARTS,2021-05-06,5574,145.0,1.0
947,Bboy Xak (ESP) vs Bboy Hatsolo (FIN) | 2021 WDSF European Breaking - Battle for the 3rd place,2021-06-27,3988,93.0,0.0
959,Simon & Rateb vs Khalil & Tchantcho | TOP 16 | World BBoy Classic World Final 2019,2019-09-10,12329,749.0,0.0
974,Red Bull BC One B-Boy Cypher USA 2021 | LIVESTREAM,2021-08-22,77074,37.0,0.0
979,B-Boy Hong 10's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-03-06,47251,206.0,1.0
983,BBOY SHLAG | World Bboy Classic 2016,2016-06-07,6415,1939.0,0.0
984,BBOY WILLY - BEST SETS 2018,2018-02-23,195067,1313.0,1.0
985,TOP SETS | Bboy Lil G | Red Bull BC One E-Battle 2021,2021-06-26,936,94.0,1.0
986,B-Boy Issei vs B-Boy Hong 10 | Final | Red Bull BC One World Final 2016,2016-12-03,6785507,1760.0,1.0
994,비가오면 난 브레이크댄스를 춰 #Shorts #bboy,2021-10-03,609,-5.0,0.0
1011,B-Boy Kid Colombia vs. B-Boy Junior | BREAK THE GAME,2019-09-19,218347,740.0,1.0
1012,"Why Jams Aren't Dead in 2021 with bboy Moy, BreakFree WorldWide // THE KNOWLEDGE DROP | BBOY DOJO",2021-04-16,547,165.0,0.0
1016,Renegade Rockers vs Havikoro [top 4] // stance // BBOY CITY 2021,2021-09-28,6168,0.0,0.0
1017,"How to Breakdance | Footwork Combination | Intact (Ruffneck Attack, Ukraine)",2013-11-15,1421829,2874.0,1.0
1021,Bboy Issei  practice,2021-07-29,800,61.0,1.0
1022,BBOY J-ONE || WORLD BBOY CLASSIC 2017,2017-06-19,20700,1562.0,0.0
1046,BBOY TAWFIQ Recap | Champion | Floor Wars 2021,2021-06-18,582,102.0,0.0
1047,BBOY KUZYA Recap | New Era Battle 2021,2021-07-01,880,89.0,0.0
1049,Kid Colombia & Justen vs Skychief & Willy | WORLD BBOY CLASSIC 2017,2017-06-18,160594,1563.0,0.0
1068,TSUKKI (age 12) vs RAPTOR (age 11) // .stance // Taipei Bboy City 2018,2018-12-02,1984566,1031.0,1.0
1070,Amazing MOMENTS at Bboy City USA 2020 // .stance,2020-10-14,13656,349.0,1.0
1074,BBoy Issue - the movement arena 2021 - Judges Presentation,2021-09-28,92,0.0,1.0
1108,NEW ▶ TOP SETS BBOY 2018  BEST BBOYS IN THE WORLD // PAAW,2018-07-10,395055,1176.0,1.0
1113,BBOY HIJACK Recap | Red Bull BC One Cypher Boston 2021,2021-08-09,1288,50.0,0.0
1117,TSUKKI (age 12) vs RAPTOR (age 11) // .stance // Taipei Bboy City 2018,2018-12-02,1984660,1031.0,1.0
1120,Bboy Music 2021 // New Year Bboy Chyper Mix,2020-12-31,48923,271.0,1.0
1122,Red Bull BC One World Final Austria 2020 Mixtape | Bboy Music Channel 2020,2020-12-22,77877,280.0,0.0
1123,Beetle (RUS) vs Dany (FRA) | BOTY 2018 1V1 BBOY FINAL,2018-11-16,31275,1047.0,0.0
1124,Bboy Thesis | Trailer 2021 (Knuckleheads Cali),2021-09-24,1228,4.0,1.0
1125,"TOP SET BBOY -  bboy thesis, lil zoo, luigi, pac pac, zoopreme, taisuke, etc",2021-07-23,1825,67.0,1.0
1130,Red bull Cypher São Paulo 2021 Bboy Training vs Bboy Sinistro,2021-10-02,178,-4.0,0.0
1131,TOP SETS BBOY 2019 🤸‍♂ BEST ROUNDS,2019-01-19,148944,983.0,0.0
1135,BBoy Bonnes x BBoy Training | RedBull BC One Cypher Curitiba Brasil 2021,2021-10-01,27,-3.0,0.0
1139,Renegade Rockers vs Vicious By Nature [top 8] // stance // BBOY CITY 2021,2021-09-28,3460,0.0,0.0
1141,Bboy Battle Mix 2021 - Cypher Code,2021-01-08,12861,263.0,0.0
1151,World Final Champion B-Boy Shigekix | Red Bull BC One World Final 2020,2020-12-29,27741,273.0,1.0
1154,B-Boy Junior vs B-Boy Physicx | Red Bull BC One Cypher France 2017,2017-07-10,3660308,1541.0,1.0
1155,Ram vs Nao [1on1 B-Girl Semi-Final] ► TAIPEI BBOY CITY ◄ 2017,2017-12-22,68775,1376.0,0.0
1158,Bboy Tom Last Squad crew vs Bboy arnil redbull bc one France 2021 ( qualification ),2021-05-29,673,122.0,0.0
1162,Red Bull BC One Cypher Holland 2021 | LIVESTREAM,2021-09-26,24605,2.0,0.0
1166,BEST KILL THE BEAT 2018 TOP SETS BBOY // PAAW,2018-03-03,375543,1305.0,0.0
1176,BBOY SHOSEI // PRACTICE SESSION,2021-08-04,838,55.0,1.0
1177,Bboy Yuwma. Unique thread-style bboy goes crazy at Full Throttle July 2021. Who's Got Daily Flava?,2021-07-24,462,66.0,0.0
1183,Breakdancing will be sport at 2024 Olympics,2021-07-30,1093,60.0,0.0
1224,Bboy Mixtape / Bboy Mixtape 2021/ Bboy Music / Dj Energy,2021-09-17,2220,11.0,1.0
1233,Street Bboy dancer - Flava D yourtroubles Tel Aviv,2021-10-02,814,-4.0,0.0
1235,Dj Zapy & Dj Uragun - Eee Dog | Bboy Music 4 Life 2021,2021-08-27,2793,32.0,0.0
1242,BBOY J - ONE 🇨🇩 NON STOP POWERMOVE,2021-08-15,532,44.0,0.0
1249,WORLD BBOY CLASSIC 2019 | OFFICIAL TRAILER,2019-06-18,3251,833.0,0.0
1253,"Bboy Onel ""No Way"" Trailer 2020 🔥",2020-09-17,25494,376.0,0.0
1275,⭐BBOY LUKA - TOP SET BEST POWERMOVES ⭐ RED BULL BC ONE CAMP FRANCE,2021-06-11,1843,109.0,1.0
1276,Bboy Bart at World Bboy Classic 2018,2018-07-10,59190,1176.0,0.0
1278,Alvarone & Husky Hask vs Victor & J One | WORLD BBOY CLASSIC 2017,2017-06-19,15979,1562.0,0.0
1289,Dennis Coffey - Ubiquitous | BBOY BEAT | Breakbeat | BBOY MUSIC 2021,2021-10-03,4,-5.0,0.0
1294,Red bull Cypher Fortaleza 2021 Bboy ??? vs Bboy Grilin,2021-09-12,777,16.0,0.0
1310,BEST JUDGE SHOWCASE | BBOY LIL G 🇻🇪,2021-10-02,155,-4.0,1.0
1311,"Bboy Kastrito vs Bboy Gato 2021 FINAL (aniversario puchiz, colima)",2021-04-21,5303,160.0,0.0
1339,TOP SETS | Bboy Lee | Champion | Red Bull BC One E-Battle 2021,2021-06-27,3736,93.0,0.0
1371,Bboy Justfit vs Bboy Leon - Quarterfinal - Red Bull BC One Asian Pacific Final 2015,2015-10-18,100467,2172.0,0.0
1394,BBOY ISSIN (Body Carnival) | Japan Star,2021-09-08,1766,20.0,1.0
1402,Bboy Ratin Takes Brazil - Red Bull BC One Brazil Cypher 2015,2015-06-16,74973,2296.0,0.0
1415,How to Breakdance | 3 Step | Footwork 101,2011-10-28,530720,3623.0,0.0
1417,B-Boy Lil Zoo vs B-Boy Philip | Top 8 | Red Bull BC One World Final Austria 2020,2020-11-29,51336,303.0,0.0
1437,B-Boy Lil G vs. B-Boy Shigekix | Break The Game 2020,2020-02-12,130460,594.0,0.0
1453,B-Boy Alkolil vs B-Boy Pac Pac | Top 8 | Red Bull BC One World Final Austria 2020,2020-11-29,88986,303.0,0.0
1456,BC One Squad vs Masters of Mayhem x Shun Murda [prelims] // stance // BBOY CITY 2021,2021-09-25,36140,3.0,0.0
1464,DUTCH BBOY CHAMPIONSHIPS 2021 ! W/ BBoy DOMkey / BREAKDANCE SHOW /JOIN IN,2021-06-07,679,113.0,0.0
1468,Bboy VICTOR at Freestyle Session USA 2021 // stance,2021-07-15,18987,75.0,1.0
1472,B-Boy Lil G's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-05-03,22949,148.0,0.0
1474,B-Boy Nord Diamond | World Bboy Classic Feature Series,2020-09-23,2438,370.0,1.0
1476,B-Boy Neguin | World BBoy Classic feature series,2020-07-29,3226,426.0,1.0
1492,TOP BBOY SETS OF I LOVE HIPHOP 2021!,2021-09-04,49855,24.0,0.0
1493,B-Boy Shigekix vs B-Boy Kid Karam | Top 8 | Red Bull BC One World Final Austria 2020,2020-11-29,71630,303.0,1.0
1495,BBoy Dotado X BBoy Dinamite | RedBull BC One Cypher Curitiba Brasil 2021,2021-10-01,7,-3.0,0.0
1511,Bboy Kosto (RUS) vs  Bboy Jamal (RUS) | 2021 WDSF European Breaking - The Final,2021-06-27,11699,93.0,0.0
1523,10 insane momments of BBOY KILL ever / Gamblerz crew 2021,2021-05-13,9098,138.0,0.0
1527,DJ QBERT @ BBOY CITY XXVII [livestream] // .stance,2021-09-26,2432,2.0,0.0
1532,ALL OF CRAZIEST bboy Vero ever/ JinJo crew,2021-06-09,1848,111.0,0.0
1541,B-Boy Neguin's BEST moments | 10 YEARS of Red Bull BC One All Stars,2021-03-18,494806,194.0,1.0
1547,KID RAINEN vs MORRIS [bboy finals] // stance // TEXAS BREAKIN OPEN 2021,2021-03-29,10191,183.0,0.0
1549,bboy heady artistreet Korea BBIC Battle 2021 #shorts #bboy,2021-09-29,400,-1.0,0.0
1550,RED BULL BC ONE NIGERIA LAGOS CYPHER  || BBOY LYRICX JUDGE SHOWCASE,2021-10-01,1628,-3.0,0.0
1556,HD vs Ozzi / BBOY SEMI FINAL / NK Breaking 2021,2021-09-14,10893,14.0,0.0
1560,Dj Spray - Si Me Ves Volar (Remastered) | BBOY BEAT | BreakBeat | BBOY MUSIC 2021,2021-10-01,190,-3.0,0.0
1574,JBL Unbreakable 2021- 1vs1 Bboy Semi final Mighty Jim vs Illz,2021-09-20,4027,8.0,1.0
1597,Taipei Bboy City Online Final Round - Lil G vs Malish,2020-10-27,21144,336.0,1.0
1601,BBOY POCKET NEXT LEVEL 2019,2019-02-03,309515,968.0,1.0
1603,BC One Squad vs Keep Your Dreams [top 8] // stance // BBOY CITY 2021,2021-09-28,6471,0.0,0.0
1606,BBOY ROXRITE Recap @SECRET BATTLE Red Bull BC One Allstars get Called Out,2021-03-22,125,190.0,1.0
1609,BBOY LILOU & BBOY MENNO Recap | Red Bull Dance Tour France,2021-06-25,881,95.0,1.0
1617,Red bull Cypher São Paulo 2021 FINAL Bboy Luan vs Bboy Training,2021-10-02,631,-4.0,0.0
1330,History of Breakdancing,2015-12-16,1358,2113.0,0.0
810,nyoni & bota performing break dance #shorts #youtubeshorts  #breakdance,2021-10-02,2,-4.0,0.0
1057,Lussy Sky vs Lil G | 3rd Place | Bboy | 2019 WDSF World Breaking Championships,2019-06-23,41059,828.0,1.0
1411,BBOY NOODLE | Bomb Jam 2021,2021-05-17,738,134.0,0.0
820,TOP 10 BBOY Sets VOL6 (BreakDance Compilation 2021),2021-01-22,27583,249.0,0.0
1613,TOP 10 Suicide Moves in Breakdance,2018-03-11,12529200,1297.0,1.0
1105,Breakdancing,2019-08-09,1234,781.0,0.0
869,Jessica Chastain Tricks Michael Fassbender Into Breakdancing - The Graham Norton Show,2017-05-05,1193762,1607.0,0.0
1600,Breakdance in the Sky - Crazy Highline Freestyle Moves,2021-06-09,6191,111.0,0.0
1291,BBOY AMIR // PRACTICE SESSION,2021-09-21,1646,7.0,0.0
1134,BREAK DANCE  BEST MOMENT 🔥🔥,2021-05-14,4486,137.0,0.0
436,respect break dance #shorts,2021-10-03,11,-5.0,0.0
1290,Break Dance Kar Ke Traffic Control Karne Wala Pehla Pakistani Traffic Warden,2021-06-19,1012813,101.0,0.0
918,Breakdancing to classical music | DEVINSUPERTRAMP,2010-09-02,1228506,4044.0,0.0
571,THE MONSTER - DJ TEE x Bboy Music Channel,2021-05-08,3662,143.0,0.0
1255,The Lockers - Dance Routine (1975) Hip-Hop (Break Dance) Origins | Music Video 1080p,2017-08-09,117525,1511.0,0.0
1163,BBOY MOA,2021-08-22,388,37.0,0.0
1165,B Boy esse é fera se liga na treta,2017-07-22,709731,1529.0,0.0
1410,TRIAL BY BREAKDANCING! | Gmod TTT,2020-09-08,323875,385.0,0.0
1045,𝑻 𝑩𝒓𝒆𝒂𝒌 𝒅𝒂𝒏𝒄𝒆 .....,2021-10-02,2,-4.0,0.0
1465,Breakdancing in an alley,2021-09-29,1791,-1.0,0.0
1500,Jeremy Sim to represent Singapore as breakdancing makes debut at 2019 SEA Games,2019-11-25,3357,673.0,0.0
1129,TOP THREE BREAKDANCING | PEOPLE ARE AWESOME,2016-03-15,205644,2023.0,0.0
1006,The Jump Down | Learn Breakdancing for Beginners,2015-03-25,2014,2379.0,0.0
787,Bboy Lorenzo (12 y/o) at World Bboy Classic 2018,2018-07-12,29217,1174.0,0.0
1241,Easy Breakdancing Moves: Freestyle Breakdance Tips,2020-12-17,50,285.0,0.0
1132,BBOY LEE | THE GOLDEN CHILD 🌟,2021-09-24,831,4.0,0.0
933,Hershey's Chocolate Bar Breakdancing Commercial,2007-12-23,18782,5028.0,0.0
930,Vin Diesel - How To Break Dance Video (ORIGINAL),2015-05-18,5691672,2325.0,0.0
925,Breakdancing,2020-01-30,646,607.0,0.0
1038,Break Dance / Capoeira - Collaboration - Street Dance Show (Amsterdam 2017),2017-05-27,37114,1585.0,0.0
1100,Nick Offerman Break Dances (Late Night with Jimmy Fallon),2013-03-28,1483826,3106.0,0.0
1430,5 Easy Breakdance Moves Everybody Can Learn | PART II | 𝐕𝐈𝐓𝐀𝐋𝐈𝐓𝐘,2021-01-09,20857,262.0,0.0
1268,Bboy Victor HIGHLIGHT 🏆🏆 // BREAK FREE DAY 2021 // BFWW,2021-08-05,13508,54.0,1.0
1169,Breakdancing Sparrow,2021-10-01,2,-3.0,0.0
1260,Nick Offerman's Life Has Been Devoted to Breakdancing | The Tonight Show Starring Jimmy Fallon,2021-03-12,38479,200.0,0.0
1320,Valorant | 1HP breakdancing,2021-10-01,22,-3.0,0.0
1161,bboy Issei training #short,2021-10-03,12,-5.0,1.0
1190,Breakdancing Has Become Big Business – And It's Heading To The Olympics | Sunday TODAY,2019-07-28,34830,793.0,0.0
971,Breakdancing wins IOC support for 2024 Olympics in Paris,2019-06-26,3756,825.0,0.0
598,Epic AFLAC breakdancing duck commercial,2011-07-23,130513,3720.0,0.0
660,F1 Summer Break 2019 – Breakdancing,2019-08-12,948502,778.0,0.0
1065,10 Years Of Breakdancing Progression | MagnusMagneto,2020-04-06,6902,540.0,1.0
960,Top 10 Bboy Music of the Week,2016-04-24,877419,1983.0,0.0
1463,B-Boy R One (Erwan) vs B-Boy Pac Pac  | Red Bull BC One Cypher France 2021,2021-06-02,16636,118.0,0.0
1091,"Shaq, LeBron, Dwight Howard All-Star Dance-Off",2007-02-18,37266676,5336.0,0.0
712,Sathi's Rakesh Master Spoof || Garam Sathi Break Dance Classes || Garam Garam Varthalu | Sakshi TV,2020-12-09,298471,293.0,0.0
588,B-Boy Nasty vs. B-Boy Pac Pac | Red Bull BC One Cypher France 2021,2021-05-31,94939,120.0,0.0
1206,B-Boy Nasty vs. B-Boy Luca | Red Bull BC One Cypher France 2021,2021-06-02,6618,118.0,0.0
1148,#1 All Stars | Team no Problems by BBoy,2021-05-08,155,143.0,0.0
1002,Breakdance Workshops in Whistler - come learn breakdancing with Robin Frindte,2020-02-18,496,588.0,0.0
1575,OLD vs NEW | GROOVE SESSION 2017,2017-11-22,4583850,1406.0,1.0
324,"TWICE ""MORE & MORE"" M/V TEASER *THE DANCE BREAK*",2020-05-27,10797321,489.0,0.0
955,Beat Street Roxy Battle,2007-06-29,5131628,5205.0,0.0
1029,My B-Boy Days,2018-03-15,9002957,1293.0,0.0
1450,#freefire#new#break#dance#shot#video#like#share#subscribe#,2021-10-03,20,-5.0,0.0
1323,Break Dance - Esporte olímpico,2021-07-30,236,60.0,0.0
537,bboy gravity,2021-08-02,7200,57.0,0.0
339,Top 10 Bboys Destrozaron el Beat en Batallas de Baile BREAK DANCe,2021-04-21,33690,160.0,1.0
1042,Tosh.0 - Web Redemption - Breakdancer,2012-02-29,2109458,3499.0,0.0
0,How to Breakdance : CC's Breakdancing Footwork,2008-10-25,735081,4721.0,1.0
1,Breakdance The Movie AKA Breakin - First Battle with Electro Rock,2009-06-14,658147,4489.0,0.0
2,Jakub Józef Orliński - Breakdancing & Opera | Classic FM Meets,2019-09-16,102757,743.0,0.0
3,free fire break dance video😜😆😆,2021-10-02,6,-4.0,0.0
4,¡Pase de Oro! El break dance extremo conquista a Santi | Audiciones 1 | Got Talent España 2017,2017-01-22,3134585,1710.0,0.0
5,Bboy Jeffro at Unbreakable 2021,2021-09-27,1354,1.0,1.0
6,SymphoBreaks (Awesome Energy) - Freestyle Megamix,2014-12-23,4467716,2471.0,0.0
7,HUMILIÉ PAR DES ABONNÉS AU BREAK DANCE !!,2017-04-23,2354848,1619.0,0.0
8,Breakdance - Coletânea Pop Internacional - (Vinil Completo - 1984) - Baú Musical,2020-05-20,24486,496.0,0.0
9,"Miami Cops Stop Dancers in Mall, Then Break It Down",2018-12-17,11933124,1016.0,0.0
10,BBOY PAC PAC 🇫🇷 2019,2019-11-21,6789,677.0,1.0
11,Break Dancing to be a sport at Olympics 2024,2020-12-22,10031,280.0,1.0
12,B-Boy Shane vs. B-Boy Nazgul | Red Bull BC One Cypher Holland 2021,2021-09-28,4508,0.0,1.0
13,Round for breakdance federation of India 2021|| Bboy wildchild,2021-10-03,12,-5.0,0.0
14,Bboy Battle 2021| Breakin'Vasion After Jam | Keep It Raw | Hip Hop India | Day 1 | New Delhi | P3,2021-10-03,2,-5.0,1.0
15,respect😱 Break Dance Power Moves🥶💯,2021-10-02,49,-4.0,1.0
16,Breakdancing Kitty,2021-09-27,314,1.0,0.0
17,TOP SETS | BBOY ZOOPREME,2020-09-16,36715,377.0,1.0
18,80s breakdancing on us tv,2008-09-27,2639451,4749.0,0.0
19,Tropical Battle 2021 Bboy Maurício vs Bboy Ceará,2021-03-07,271,205.0,1.0
